country,day,domestic_flights,international_departures,international_arrivals,total_flights
Algeria,2020-01-14,1.0,34.0,24.0,59.0
Algeria,2020-01-17,2.0,41.0,37.0,80.0
Algeria,2020-01-18,2.0,34.0,30.0,66.0
Algeria,2020-01-19,1.0,41.0,32.0,74.0
Algeria,2020-01-22,1.0,28.0,28.0,57.0
Algeria,2020-01-23,1.0,34.0,32.0,67.0
Algeria,2020-01-24,3.0,42.0,33.0,78.0
Algeria,2020-01-25,2.0,34.0,25.0,61.0
Algeria,2020-01-26,2.0,35.0,20.0,57.0
Algeria,2020-01-28,1.0,38.0,30.0,69.0
Algeria,2020-01-29,2.0,31.0,28.0,61.0
Algeria,2020-01-30,3.0,34.0,35.0,72.0
Algeria,2020-01-31,3.0,37.0,40.0,80.0
Algeria,2020-02-10,1.0,40.0,37.0,78.0
Algeria,2020-02-20,1.0,34.0,22.0,57.0
Algeria,2020-02-22,3.0,45.0,43.0,91.0
Algeria,2020-02-23,5.0,42.0,41.0,88.0
Algeria,2020-02-24,3.0,40.0,48.0,91.0
Algeria,2020-02-25,2.0,41.0,37.0,80.0
Algeria,2020-02-29,2.0,40.0,43.0,85.0
Algeria,2020-03-10,1.0,26.0,23.0,50.0
Argentina,2020-01-01,1.0,38.0,41.0,80.0
Argentina,2020-01-15,1.0,42.0,48.0,91.0
Argentina,2020-01-18,2.0,28.0,36.0,66.0
Argentina,2020-01-19,1.0,42.0,40.0,83.0
Argentina,2020-01-20,1.0,27.0,32.0,60.0
Argentina,2020-01-21,5.0,42.0,36.0,83.0
Argentina,2020-01-23,3.0,42.0,45.0,90.0
Argentina,2020-01-24,3.0,44.0,43.0,90.0
Argentina,2020-01-30,1.0,44.0,48.0,93.0
Argentina,2020-02-09,1.0,42.0,43.0,86.0
Argentina,2020-02-13,1.0,48.0,42.0,91.0
Argentina,2020-02-22,1.0,57.0,51.0,109.0
Argentina,2020-02-25,1.0,41.0,34.0,76.0
Argentina,2020-03-07,1.0,48.0,46.0,95.0
Argentina,2020-03-08,1.0,47.0,46.0,94.0
Argentina,2020-03-09,1.0,48.0,49.0,98.0
Argentina,2020-03-12,1.0,41.0,27.0,69.0
Argentina,2020-03-16,2.0,49.0,47.0,98.0
Argentina,2020-03-17,1.0,35.0,32.0,68.0
